,,,,,,,,,,
,,,,,,,,,,
,,,,,,https://gsgroup.it/o-kompanii/meropriyatiya/cifrafest/,,https://twconf.ru/,,https://skolkovo2024.mergeconf.ru/
,,,,,,GS Group,,TECH WEEK,,merge
,Тестирование единства дизайна ,,,,,,,,,
,Соблюдение цветовой гаммы на всех страницах веб-ресурса,,,,,5,,5,,5
,"Совместимость звуков, рисунков и анимации с дизайном сайта",,,,,4,,5,,5
,Доступность подачи информации – читабельность веб-ресурса ,,,,,3,,3,,5
,Наличие логотипа организации на веб-ресурсе ,,,,,Да,,Да,,Да
,Эксклюзивный дизайн сайта,,,,,3,,5,,4
,Тестирование структуры сайта и удобства навигации ,,,,,,,,,
,Дружественность – интуитивная понятность интерфейса ,,,,,5,,4,,4
,Доступность контактной информации,,,,,3,,3,,4
,Понятно ли предназначение каждой страницы,,,,,Да,,Да,,Да
,Присутствие опции обратной связи с администрацией сайта,,,,,Есть ,,Нет,,Да
,Простота нахождения требуемого раздела приложения,,,,,5,,3,,5
,Тестирование информационного контента веб-ресурса,,,,,,,,,
,Актуальность информации ,,,,,5,,4,,4
,Семантическая наполненность контента ,,,,,5,,5,,5
,Уникальность тематических материалов сайта,,,,,3,,3,,4
,Тестирование функциональности веб-ресурса,,,,,,,,,
,Корректность ввода данных веб-формы,,,,,Есть ,,Есть,,Есть
,Работоспособность ссылок ,,,,,3,,3,,4
,"Различные права доступа на сайт (зарег, гость, админ)",,,,,Нет,,Нет,,Нет
,Интеграция с соцсетями или сторонними веб-сервисами,,,,,Есть ,,Есть ,,Есть 
,Присутствие мультимедиа информации ,,,,,Есть ,,Есть ,,Есть 
,Наличие интерактивного помощника/консультанта для поиска,,,,,Да,,Да,,Да 
,Представление закрытой информации только зарег,,,,,Нет,,Нет,,Да 
,Поддержка взаимодействия с пользователями,,,,,Нет ,,Нет,,Нет
,Наличие в интерфейсе новостного блока ,,,,,Нет,,Да,,Да
,Тестирование технических характеристик веб-ресурса ,,,,,,,,,Да
,Дата создания домена ,,,,,05.05.2015,,11.05.2023,,05.05.2015
,Возраст домена ,,,,,3449 дней ,,514 дней ,,750 дней
,Контактные данные организации ,,,,,-,,-,,-
,"Информация о сервере: IP адрес, DNS сервера",,,,,84.201.182.10,,ns1.tildadns.com.,,185.215.4.12
,Кроссбраузерность приложения ,,,,,Да,,Да,,Да
,Анализ заголовка веб-ресурса http,,,,,Успешно,,Успешно,,Успешно 
,Google сниппет ,,,,,Есть,,Есть ,,Есть 
,Индексирование поисковыми системами ,,,,,-,,-,,-
,Уязвимость URL,,,,,Да,,Нет,,Да
,Время загрузки веб-странц,,,,,2 сек,,3.3 сек,,4.4 сек